#doc name topic proportion ...
0	file:/Users/lucylin/Documents/Data/./input/10-000-earthquake-damaged-Christchurch-homes-may-be-lost_stuff.txt	22	0.5328587155483452	2	0.08925637157848809	21	0.07894507745590575	0	0.07485128957170605	9	0.06421468359275904	15	0.057188492557216336	6	0.04995510169625943	23	0.017945232433843536	10	0.017910587337905327	14	0.010913067617975662	7	0.003838098854174763	16	3.2562556843071495E-4	20	3.2239930245899634E-4	11	1.77149942940418E-4	5	1.7486921759132077E-4	8	1.7017652561834436E-4	13	1.3335409414499242E-4	18	1.2616611215479732E-4	19	1.2227005313055863E-4	1	1.1500267336350472E-4	17	1.1132259929989153E-4	12	9.90533501730965E-5	4	9.854230542931577E-5	3	7.676338843057072E-5	24	7.058662225418503E-5	
1	file:/Users/lucylin/Documents/Data/./input/108m-needed-to-restore-earthquake-damaged-Canterbury-Provincial-Chambers_stuff.txt	14	0.5712448842547851	22	0.24612092533223556	23	0.17455153669464152	21	0.0013060843299865516	2	7.16573022543546E-4	15	5.675313476811517E-4	16	5.506291768176662E-4	20	5.451735973164506E-4	7	4.815840996963156E-4	9	4.3154556816945585E-4	0	3.9213295396592666E-4	6	3.531445509408836E-4	11	2.995585626911046E-4	5	2.957018817567025E-4	8	2.8776659236713886E-4	10	2.436122584988261E-4	13	2.2550027455828158E-4	18	2.133454777918124E-4	19	2.0675728576595787E-4	1	1.944682282510972E-4	17	1.882452643664091E-4	12	1.6749810197551874E-4	4	1.6663393105693545E-4	3	1.2980602716476647E-4	24	1.1936118497534816E-4	
2	file:/Users/lucylin/Documents/Data/./input/1240-central-Christchurch-buildings-demolished_stuff.txt	16	0.43094320697199545	20	0.28613822302596026	22	0.1598969188715701	14	0.06886167838346208	21	0.04274453056429615	9	0.007894812842302859	2	4.544403089679351E-4	15	3.59920221492204E-4	7	3.054137124548796E-4	0	2.486850818416842E-4	6	2.2395919716635063E-4	23	1.9164881929386476E-4	11	1.8997573380605945E-4	5	1.8752988220366543E-4	8	1.824974357557891E-4	10	1.54495392008503E-4	13	1.4300903218330717E-4	18	1.3530063481943482E-4	19	1.3112249815285738E-4	1	1.2332895455257673E-4	17	1.1938244032236497E-4	12	1.0622488820903352E-4	4	1.0567684343636247E-4	3	8.232111625032869E-5	24	7.569714749578053E-5	
3	file:/Users/lucylin/Documents/Data/./input/200-million-donated-for-quake-relief_stuff.txt	7	0.3798011242967305	22	0.32585780623116883	24	0.14123355839405322	5	0.08859538597947501	19	0.0355679721186822	2	0.018683699212134662	21	0.0019163601124278825	15	8.327137936489891E-4	16	8.079139814832938E-4	20	7.99909249548093E-4	9	6.331878382948582E-4	14	6.281042984314033E-4	0	5.753594423390399E-4	6	5.181534727940072E-4	23	4.4339996986248923E-4	11	4.3952910826467926E-4	8	4.2222726866905836E-4	10	3.574415559295683E-4	13	3.308666382280817E-4	18	3.1303243934586344E-4	1	2.853346810758851E-4	17	2.762039997746108E-4	12	2.457626005945322E-4	4	2.4449464060093037E-4	3	1.9045867644231672E-4	
4	file:/Users/lucylin/Documents/Data/./input/2015-will-be-year-of-momentum-for-Christchurch_stuff.txt	2	0.29831874762750527	22	0.28901377316820437	20	0.2016483150874429	0	0.16125979220504388	21	0.033894004836179416	7	0.008680904836528449	15	7.590982191978718E-4	16	7.364908198789211E-4	9	5.772112388833375E-4	14	5.725771063794671E-4	6	4.7234641898453105E-4	23	4.042014556286847E-4	11	4.006727952797514E-4	5	3.9551431435833485E-4	8	3.8490051466418706E-4	10	3.2584214485562604E-4	13	3.0161656716448486E-4	18	2.853589901727686E-4	19	2.765469926417186E-4	1	2.601098359749261E-4	17	2.51786347197962E-4	12	2.2403610205523543E-4	4	2.2288023532107275E-4	3	1.7362128887598232E-4	24	1.596508515808698E-4	
5	file:/Users/lucylin/Documents/Data/./input/30-000-workers-needed-for-Christchurch-rebuild_stuff.txt	22	0.5149353614638064	20	0.2993665914712368	18	0.08754848133652071	2	0.04654069256326741	0	0.018697033789133635	5	0.018623221609975885	21	0.005598948814758368	7	0.0049678435359354995	15	4.3441107262389675E-4	16	4.214734785958673E-4	9	3.303221468215795E-4	14	3.276701600025156E-4	6	2.703108890677555E-4	23	2.3131339720614853E-4	11	2.2929404175472184E-4	8	2.2026799852783551E-4	10	1.86470514714653E-4	13	1.7260688162529784E-4	19	1.5826025231800288E-4	1	1.4885371877870198E-4	17	1.4409041464212433E-4	12	1.2820971112688454E-4	4	1.2754824032495263E-4	3	9.935869749590155E-5	24	9.136379973839177E-5	
6	file:/Users/lucylin/Documents/Data/./input/33-magnitude-quake-in-christchurch_stuff.txt	15	0.7168114145990951	1	0.0690618719089223	22	0.06665234242664245	5	0.035653351003489125	17	0.03504564061345412	4	0.034923419831582904	21	0.007386432188832753	2	0.0040525086457620435	16	0.003114029456121236	20	0.0030831759598259935	7	0.0027235517753004005	9	0.0024405637541856195	14	0.0024209697216042033	0	0.002217669569242758	6	0.001997174469130557	23	0.0017090440302320864	11	0.0016941241534724118	8	0.0016274358185992739	10	0.0013777253018482372	13	0.0012752947480849611	18	0.0012065544837518817	19	0.001169295608096828	12	9.472691338491916E-4	3	7.341052911676862E-4	24	6.75035507705854E-4	
7	file:/Users/lucylin/Documents/Data/./input/4-2-quake-shakes-Christchurch_stuff.txt	15	0.7135675785208322	21	0.18042227955649356	22	0.062470615262103964	14	0.021704750001207043	20	0.011429876184244996	2	0.001249714136445005	16	9.603055718809119E-4	7	8.39889918184929E-4	9	7.526219660729509E-4	0	6.838857737033722E-4	6	6.15889412013869E-4	23	5.270356391766214E-4	11	5.224346419844053E-4	5	5.157085323879651E-4	8	5.01869268258653E-4	10	4.248634454261452E-4	13	3.9327587283065595E-4	18	3.720777243282827E-4	19	3.605878182764199E-4	1	3.391555170080955E-4	17	3.2830257433146996E-4	12	2.9211921085654904E-4	4	2.906120837679172E-4	3	2.2638366508378408E-4	24	2.0816770310028642E-4	
8	file:/Users/lucylin/Documents/Data/./input/6000-red-zone-homes-to-be-bowled_stuff.txt	6	0.3689694038398639	22	0.2603447452814636	0	0.09371986836245741	21	0.07972036848914152	14	0.07408631854948712	16	0.06927083757861319	15	0.03487448647035973	7	0.015141212042179292	2	5.862410192739101E-4	20	4.4601612859713536E-4	9	3.530550352688254E-4	23	2.4723246804544394E-4	11	2.450741398286295E-4	5	2.419189211825622E-4	8	2.3542692107424314E-4	10	1.9930348232066215E-4	13	1.8448574903691682E-4	18	1.7454169557513707E-4	19	1.691517795625307E-4	1	1.5909788501615902E-4	17	1.54006768582952E-4	12	1.3703314936421037E-4	4	1.3632615590478757E-4	3	1.0619659864231788E-4	24	9.765148915780945E-5	
9	file:/Users/lucylin/Documents/Data/./input/6000-vulnerable-quake-claimants-wait_stuff.txt	0	0.5615047643695837	22	0.35686735526955415	21	0.029572199417639673	7	0.01745837436860276	8	0.017275542493534222	5	0.011614999143535348	2	6.759574567877249E-4	15	5.353635070772546E-4	16	5.194193561371053E-4	20	5.142730004567659E-4	9	4.070854408004346E-4	14	4.0381716092993984E-4	6	3.3312821585874936E-4	23	2.8506812870640787E-4	11	2.8257949689050723E-4	10	2.2980424536868922E-4	13	2.1271885390589996E-4	18	2.0125299452862362E-4	19	1.9503822312846926E-4	1	1.8344571294077447E-4	17	1.775754684453225E-4	12	1.5800426120739453E-4	4	1.5718907174591858E-4	3	1.2244858407669363E-4	24	1.1259575855746432E-4	
